time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  8  0  8 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  2  0  2  0 
120  3  0  3  0 
140  4  0  4  0 
160  5  0  5  0 
180  7  0  7  0 
200  8  0  8  0 
220  10  0  10  0 
240  12  0  12  0 
260  14  0  14  0 
280  17  0  17  0 
300  19  0  19  0 
320  22  0  22  0 
340  24  0  24  0 
360  27  0  27  0 
380  30  0  30  0 
400  34  0  34  0 
420  37  0  37  0 
440  40  0  40  0 
460  44  1  44  1 
480  48  1  48  1 
500  51  2  51  2 
520  55  3  55  2 
540  59  4  59  3 
560  64  5  64  4 
580  68  6  68  5 
600  72  7  72  6 
620  77  9  77  8 
640  81  11  81  10 
660  86  12  86  12 
680  91  15  91  14 
700  96  17  96  16 
720  101  19  101  18 
740  106  22  106  21 
760  112  25  112  23 
780  117  28  117  26 
800  122  31  122  29 
820  128  34  128  33 
840  133  38  133  36 
860  139  41  139  39 
880  145  45  145  43 
900  151  49  151  47 
920  157  53  157  51 
940  163  57  163  55 
960  169  62  169  59 
980  175  66  175  63 
1000  181  71  181  68 
1020  187  75  187  72 
1040  194  80  194  77 
1060  200  85  200  82 
1080  206  90  206  86 
1100  213  95  213  91 
1120  219  100  219  96 
1140  226  105  226  101 
1160  233  110  233  106 
1180  239  116  239  111 
1200  246  121  246  117 
1220  253  126  253  122 
1240  259  132  259  127 
1260  266  137  266  133 
1280  273  143  273  139 
1300  280  148  280  144 
1320  287  154  287  150 
1340  294  160  294  156 
1360  301  165  301  162 
1380  308  171  308  168 
1400  315  177  315  173 
1420  322  183  322  179 
1440  329  189  329  186 
1460  336  195  336  192 
1480  343  201  343  198 
1500  349  207  349  204 
1520  356  214  356  210 
1540  363  220  363  217 
1560  370  226  370  223 
1580  377  232  377  229 
1600  384  239  384  235 
1620  391  245  391  242 
1640  398  252  398  248 
1660  405  258  405  255 
1680  412  264  412  261 
1700  419  271  419  268 
1720  426  277  426  274 
1740  433  284  433  281 
1760  440  290  440  288 
1780  446  296  446  294 
1800  453  303  453  301 
1820  460  309  460  308 
1840  466  316  466  315 
1860  473  323  473  321 
1880  480  329  480  328 
1900  486  336  486  335 
1920  493  343  493  341 
1940  499  349  499  348 
1960  505  356  505  355 
1980  512  362  512  361 
2000  518  369  518  368 
2020  524  376  524  374 
2040  530  382  530  381 
2060  536  389  536  388 
2080  542  396  542  394 
2100  548  402  548  401 
2120  554  409  554  407 
2140  560  415  560  414 
2160  566  422  566  421 
2180  571  428  571  427 
2200  577  435  577  434 
2220  582  441  582  440 
2240  587  448  587  447 
2260  593  454  593  453 
2280  598  460  598  460 
2300  603  467  603  466 
2320  608  473  608  472 
2340  613  480  613  479 
2360  618  486  618  485 
2380  622  492  622  491 
2400  627  499  627  497 
2420  631  505  631  504 
2440  635  511  635  510 
2460  640  517  640  516 
2480  644  523  644  522 
2500  648  529  648  528 
2520  651  535  651  533 
2540  655  541  655  539 
2560  659  547  659  545 
2580  662  552  662  551 
2600  665  558  665  556 
2620  669  563  669  562 
2640  672  568  672  567 
2660  675  574  675  572 
2680  677  579  677  578 
2700  680  584  680  583 
2720  682  589  682  588 
2740  685  594  685  593 
2760  687  598  687  598 
2780  689  603  689  602 
2800  691  607  691  607 
2820  692  612  692  611 
2840  694  616  694  615 
2860  695  620  695  619 
2880  696  624  696  623 
2900  697  628  697  627 
2920  698  631  698  631 
2940  699  635  699  634 
2960  699  638  699  637 
2980  699  641  699  640 
3000  699  644  699  643 
