time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  0  0  0 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  2  0  2  0 
120  3  0  3  0 
140  4  0  4  0 
160  5  0  5  0 
180  7  0  7  0 
200  8  1  8  1 
220  10  2  10  2 
240  12  3  12  3 
260  14  5  14  5 
280  17  7  17  7 
300  19  9  19  9 
320  22  12  22  12 
340  24  15  24  15 
360  27  19  27  18 
380  30  22  30  22 
400  34  26  34  25 
420  37  29  37  28 
440  40  33  40  32 
460  44  36  44  35 
480  48  39  48  39 
500  51  43  51  42 
520  55  46  55  46 
540  59  50  59  50 
560  64  54  64  53 
580  68  57  68  57 
600  72  61  72  61 
620  77  65  77  65 
640  81  70  81  69 
660  86  74  86  74 
680  91  79  91  79 
700  96  84  96  83 
720  101  88  101  88 
740  106  94  106  93 
760  112  99  112  99 
780  117  104  117  104 
800  122  110  122  109 
820  128  115  128  114 
840  133  121  133  120 
860  139  126  139  125 
880  145  132  145  131 
900  151  138  151  137 
920  157  143  157  142 
940  163  149  163  148 
960  169  155  169  154 
980  175  161  175  160 
1000  181  167  181  166 
1020  187  173  187  172 
1040  194  179  194  178 
1060  200  185  200  185 
1080  206  191  206  191 
1100  213  198  213  197 
1120  219  204  219  204 
1140  226  211  226  210 
1160  233  217  233  217 
1180  239  224  239  223 
1200  246  230  246  230 
1220  253  237  253  237 
1240  259  244  259  243 
1260  266  251  266  250 
1280  273  258  273  257 
1300  280  264  280  264 
1320  287  271  287  270 
1340  294  278  294  277 
1360  301  285  301  284 
1380  308  292  308  291 
1400  315  299  315  298 
1420  322  306  322  305 
1440  329  313  329  312 
1460  336  320  336  319 
1480  343  327  343  326 
1500  349  334  349  333 
1520  356  341  356  341 
1540  363  348  363  348 
1560  370  355  370  355 
1580  377  362  377  362 
1600  384  369  384  369 
1620  391  376  391  376 
1640  398  383  398  383 
1660  405  390  405  390 
1680  412  397  412  397 
1700  419  404  419  403 
1720  426  411  426  410 
1740  433  418  433  417 
1760  440  425  440  424 
1780  446  432  446  431 
1800  453  438  453  438 
1820  460  445  460  445 
1840  466  451  466  451 
1860  473  458  473  458 
1880  480  465  480  465 
1900  486  471  486  472 
1920  493  478  493  479 
1940  499  485  499  485 
1960  505  491  505  492 
1980  512  498  512  498 
2000  518  504  518  505 
2020  524  511  524  511 
2040  530  517  530  517 
2060  536  524  536  524 
2080  542  530  542  530 
2100  548  537  548  536 
2120  554  543  554  542 
2140  560  549  560  548 
2160  566  555  566  553 
2180  571  560  571  559 
2200  577  566  577  565 
2220  582  572  582  571 
2240  587  577  587  576 
2260  593  582  593  582 
2280  598  588  598  587 
2300  603  593  603  593 
2320  608  598  608  598 
2340  613  603  613  603 
2360  618  608  618  608 
2380  622  613  622  613 
2400  627  617  627  618 
2420  631  622  631  622 
2440  635  627  635  627 
2460  640  631  640  631 
2480  644  635  644  636 
2500  648  640  648  640 
2520  651  644  651  644 
2540  655  648  655  647 
2560  659  651  659  651 
2580  662  655  662  654 
2600  665  659  665  658 
2620  669  662  669  661 
2640  672  666  672  665 
2660  675  669  675  668 
2680  677  672  677  671 
2700  680  674  680  674 
2720  682  677  682  677 
2740  685  679  685  679 
2760  687  682  687  682 
2780  689  684  689  684 
2800  691  686  691  686 
2820  692  688  692  688 
2840  694  689  694  690 
2860  695  691  695  692 
2880  696  692  696  693 
2900  697  694  697  694 
2920  698  695  698  695 
2940  699  696  699  696 
2960  699  697  699  697 
2980  699  697  699  698 
3000  699  698  699  698 
