time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  0  0  0 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  -1  0  -1  0 
100  -1  0  -1  0 
120  -2  0  -2  0 
140  -3  0  -3  0 
160  -4  0  -4  0 
180  -5  0  -5  0 
200  -6  0  -6  -1 
220  -8  -1  -8  -1 
240  -9  -2  -9  -2 
260  -11  -3  -11  -3 
280  -13  -5  -13  -5 
300  -15  -7  -15  -7 
320  -17  -9  -17  -9 
340  -19  -12  -19  -11 
360  -21  -14  -21  -13 
380  -23  -17  -23  -16 
400  -25  -20  -25  -19 
420  -28  -23  -28  -21 
440  -30  -25  -30  -24 
460  -33  -28  -33  -27 
480  -36  -30  -36  -29 
500  -39  -33  -39  -32 
520  -41  -35  -41  -35 
540  -44  -37  -44  -37 
560  -47  -40  -47  -40 
580  -50  -42  -50  -42 
600  -54  -45  -54  -45 
620  -57  -48  -57  -48 
640  -60  -51  -60  -51 
660  -63  -54  -63  -54 
680  -67  -57  -67  -57 
700  -70  -61  -70  -60 
720  -73  -65  -73  -64 
740  -77  -68  -77  -67 
760  -80  -72  -80  -71 
780  -84  -76  -84  -75 
800  -87  -80  -87  -79 
820  -91  -83  -91  -83 
840  -95  -87  -95  -87 
860  -98  -91  -98  -90 
880  -102  -94  -102  -94 
900  -106  -98  -106  -98 
920  -110  -102  -110  -102 
940  -113  -105  -113  -105 
960  -117  -109  -117  -109 
980  -121  -112  -121  -112 
1000  -125  -116  -125  -116 
1020  -128  -120  -128  -119 
1040  -132  -123  -132  -123 
1060  -136  -127  -136  -127 
1080  -139  -131  -139  -130 
1100  -143  -135  -143  -134 
1120  -147  -139  -147  -138 
1140  -151  -142  -151  -142 
1160  -154  -146  -154  -146 
1180  -158  -150  -158  -149 
1200  -161  -154  -161  -153 
1220  -165  -157  -165  -157 
1240  -169  -161  -169  -161 
1260  -172  -165  -172  -164 
1280  -176  -168  -176  -168 
1300  -179  -172  -179  -171 
1320  -182  -175  -182  -175 
1340  -186  -179  -186  -178 
1360  -189  -182  -189  -182 
1380  -192  -185  -192  -185 
1400  -196  -189  -196  -188 
1420  -199  -192  -199  -191 
1440  -202  -195  -202  -195 
1460  -205  -199  -205  -198 
1480  -208  -202  -208  -201 
1500  -210  -205  -210  -204 
1520  -213  -208  -213  -207 
1540  -216  -210  -216  -209 
1560  -219  -213  -219  -212 
1580  -221  -216  -221  -215 
1600  -224  -218  -224  -218 
1620  -226  -221  -226  -220 
1640  -228  -223  -228  -223 
1660  -230  -225  -230  -225 
1680  -232  -228  -232  -228 
1700  -234  -230  -234  -230 
1720  -236  -232  -236  -232 
1740  -238  -234  -238  -234 
1760  -240  -236  -240  -236 
1780  -241  -237  -241  -237 
1800  -243  -239  -243  -239 
1820  -244  -240  -244  -240 
1840  -245  -242  -245  -242 
1860  -246  -243  -246  -243 
1880  -247  -244  -247  -244 
1900  -248  -245  -248  -245 
1920  -248  -246  -248  -246 
1940  -249  -247  -249  -246 
1960  -249  -248  -249  -247 
1980  -249  -248  -249  -248 
2000  -249  -248  -249  -248 
