time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  0  0  0 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  1  0  1  0 
120  2  0  2  0 
140  3  0  3  0 
160  4  0  4  0 
180  6  0  6  0 
200  7  1  7  0 
220  9  1  9  1 
240  10  2  10  2 
260  12  4  12  3 
280  14  5  14  5 
300  16  8  16  7 
320  19  10  19  10 
340  21  13  21  12 
360  23  16  23  15 
380  26  19  26  18 
400  29  22  29  22 
420  31  25  31  25 
440  34  28  34  28 
460  37  31  37  31 
480  41  34  41  34 
500  44  37  44  37 
520  47  40  47  39 
540  51  43  51  42 
560  54  46  54  45 
580  58  49  58  48 
600  62  53  62  52 
620  66  56  66  55 
640  70  60  70  59 
660  74  63  74  63 
680  78  67  78  67 
700  82  71  82  71 
720  87  76  87  75 
740  91  80  91  80 
760  96  85  96  84 
780  100  90  100  89 
800  105  94  105  94 
820  109  99  109  98 
840  114  104  114  103 
860  119  109  119  108 
880  124  114  124  113 
900  129  118  129  118 
920  134  123  134  123 
940  139  128  139  128 
960  144  133  144  133 
980  150  138  150  138 
1000  155  143  155  143 
1020  160  149  160  148 
1040  166  154  166  153 
1060  171  159  171  159 
1080  177  164  177  164 
1100  182  170  182  169 
1120  188  175  188  175 
1140  194  181  194  181 
1160  199  187  199  186 
1180  205  192  205  192 
1200  211  198  211  198 
1220  216  204  216  203 
1240  222  210  222  209 
1260  228  216  228  215 
1280  234  222  234  221 
1300  240  228  240  226 
1320  246  233  246  232 
1340  252  239  252  238 
1360  258  245  258  244 
1380  264  251  264  250 
1400  270  257  270  256 
1420  276  263  276  261 
1440  282  269  282  267 
1460  288  275  288  273 
1480  294  281  294  279 
1500  300  287  300  285 
1520  305  293  305  291 
1540  311  299  311  297 
1560  317  305  317  304 
1580  323  311  323  310 
1600  329  317  329  316 
1620  335  323  335  322 
1640  341  329  341  328 
1660  347  335  347  334 
1680  353  341  353  340 
1700  359  347  359  346 
1720  365  353  365  352 
1740  371  359  371  358 
1760  377  365  377  364 
1780  383  371  383  370 
1800  388  377  388  376 
1820  394  383  394  381 
1840  400  388  400  387 
1860  405  394  405  392 
1880  411  400  411  398 
1900  417  405  417  404 
1920  422  411  422  409 
1940  428  416  428  415 
1960  433  422  433  421 
1980  439  428  439  426 
2000  444  433  444  432 
2020  449  439  449  438 
2040  455  444  455  443 
2060  460  450  460  449 
2080  465  455  465  454 
2100  470  460  470  460 
2120  475  466  475  465 
2140  480  471  480  470 
2160  485  476  485  475 
2180  490  481  490  480 
2200  494  485  494  485 
2220  499  490  499  489 
2240  503  495  503  494 
2260  508  499  508  498 
2280  512  504  512  503 
2300  517  508  517  507 
2320  521  512  521  511 
2340  525  517  525  516 
2360  529  521  529  520 
2380  533  525  533  524 
2400  537  529  537  528 
2420  541  533  541  532 
2440  545  537  545  536 
2460  548  541  548  540 
2480  552  544  552  544 
2500  555  548  555  548 
2520  558  552  558  552 
2540  562  555  562  555 
2560  565  558  565  559 
2580  568  562  568  562 
2600  570  565  570  565 
2620  573  568  573  568 
2640  576  571  576  570 
2660  578  573  578  573 
2680  580  576  580  575 
2700  583  578  583  578 
2720  585  580  585  580 
2740  587  582  587  582 
2760  589  584  589  584 
2780  590  586  590  585 
2800  592  587  592  587 
2820  593  589  593  589 
2840  595  590  595  590 
2860  596  592  596  592 
2880  597  593  597  593 
2900  598  595  598  594 
2920  598  596  598  596 
2940  599  597  599  596 
2960  599  598  599  597 
2980  599  598  599  598 
3000  599  599  599  598 
