time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  8  0  6 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  2  0  2  0 
120  3  1  3  1 
140  4  2  4  3 
160  5  4  5  4 
180  7  7  7  7 
200  8  9  8  8 
220  10  10  10  10 
240  12  11  12  11 
260  14  12  14  12 
280  17  14  17  14 
300  19  17  19  17 
320  22  21  22  20 
340  24  25  24  24 
360  27  28  27  28 
380  30  29  30  30 
400  34  30  34  32 
420  37  32  37  33 
440  40  37  40  36 
460  44  43  44  41 
480  48  48  48  47 
500  51  52  51  53 
520  55  53  55  56 
540  59  54  59  57 
560  64  57  64  57 
580  68  64  68  61 
600  72  71  72  68 
620  77  76  77  76 
640  81  79  81  84 
660  86  81  86  87 
680  91  86  91  86 
700  96  92  96  86 
720  101  99  101  92 
740  106  106  106  101 
760  112  112  112  111 
780  117  116  117  119 
800  122  119  122  123 
820  128  123  128  123 
840  133  128  133  123 
860  139  134  139  130 
880  145  142  145  138 
900  151  149  151  148 
920  157  157  157  157 
940  163  162  163  164 
960  169  166  169  168 
980  175  170  175  168 
1000  181  175  181  172 
1020  187  182  187  179 
1040  194  190  194  188 
1060  200  198  200  197 
1080  206  206  206  206 
1100  213  212  213  213 
1120  219  218  219  219 
1140  226  223  226  222 
1160  233  228  233  225 
1180  239  234  239  231 
1200  246  241  246  240 
1220  253  249  253  249 
1240  259  257  259  257 
1260  266  265  266  265 
1280  273  272  273  273 
1300  280  279  280  279 
1320  287  285  287  283 
1340  294  290  294  288 
1360  301  296  301  294 
1380  308  302  308  301 
1400  315  310  315  310 
1420  322  318  322  318 
1440  329  326  329  327 
1460  336  334  336  335 
1480  343  341  343  342 
1500  349  349  349  348 
1520  356  355  356  352 
1540  363  361  363  358 
1560  370  367  370  365 
1580  377  373  377  373 
1600  384  380  384  381 
1620  391  387  391  389 
1640  398  395  398  397 
1660  405  403  405  404 
1680  412  411  412  411 
1700  419  419  419  418 
1720  426  425  426  423 
1740  433  430  433  429 
1760  440  434  440  435 
1780  446  440  446  442 
1800  453  448  453  449 
1820  460  456  460  457 
1840  466  464  466  464 
1860  473  472  473  472 
1880  480  479  480  479 
1900  486  486  486  485 
1920  493  490  493  491 
1940  499  495  499  495 
1960  505  500  505  501 
1980  512  507  512  507 
2000  518  515  518  514 
2020  524  522  524  522 
2040  530  529  530  529 
2060  536  536  536  536 
2080  542  542  542  542 
2100  548  546  548  547 
2120  554  550  554  551 
2140  560  555  560  555 
2160  566  561  566  561 
2180  571  568  571  568 
2200  577  575  577  575 
2220  582  582  582  582 
2240  587  588  587  588 
2260  593  592  593  592 
2280  598  595  598  593 
2300  603  598  603  596 
2320  608  603  608  602 
2340  613  610  613  610 
2360  618  617  618  618 
2380  622  623  622  625 
2400  627  627  627  626 
2420  631  628  631  625 
2440  635  630  635  627 
2460  640  634  640  633 
2480  644  641  644  642 
2500  648  648  648  650 
2520  651  654  651  656 
2540  655  656  655  655 
2560  659  655  659  652 
2580  662  655  662  652 
2600  665  660  665  659 
2620  669  668  669  668 
2640  672  675  672  675 
2660  675  679  675  679 
2680  677  677  677  676 
2700  680  673  680  673 
2720  682  673  682  674 
2740  685  680  685  681 
2760  687  688  687  689 
2780  689  695  689  695 
2800  691  695  691  694 
2820  692  690  692  688 
2840  694  685  694  685 
2860  695  688  695  689 
2880  696  695  696  697 
2900  697  703  697  703 
2920  698  706  698  704 
2940  699  702  699  699 
2960  699  694  699  693 
2980  699  690  699  692 
3000  699  695  699  697 
