time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  3  0  4 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  2  0  2  0 
120  3  0  3  0 
140  4  0  4  0 
160  5  0  5  0 
180  7  0  7  0 
200  8  0  8  0 
220  10  1  10  1 
240  12  1  12  1 
260  14  1  14  2 
280  17  2  17  2 
300  19  3  19  3 
320  22  4  22  4 
340  24  4  24  5 
360  27  6  27  6 
380  30  7  30  6 
400  34  7  34  8 
420  37  9  37  10 
440  40  13  40  10 
460  44  13  44  11 
480  48  11  48  14 
500  51  15  51  16 
520  55  19  55  15 
540  59  15  59  17 
560  64  14  64  23 
580  68  21  68  24 
600  72  24  72  21 
620  77  19  77  26 
640  81  19  81  30 
660  86  26  86  27 
680  91  30  91  26 
700  96  27  96  33 
720  101  27  101  36 
740  106  33  106  32 
760  112  38  112  31 
780  117  36  117  38 
800  122  36  122  43 
820  128  42  128  40 
840  133  48  133  42 
860  139  47  139  50 
880  145  47  145  54 
900  151  53  151  52 
920  157  60  157  55 
940  163  60  163  63 
960  169  61  169  67 
980  175  68  175  67 
1000  181  75  181  72 
1020  187  76  187  80 
1040  194  78  194  84 
1060  200  86  200  84 
1080  206  92  206  91 
1100  213  94  213  99 
1120  219  98  219  103 
1140  226  106  226  103 
1160  233  112  233  110 
1180  239  115  239  119 
1200  246  121  246  122 
1220  253  129  253  125 
1240  259  134  259  133 
1260  266  135  266  140 
1280  273  142  273  142 
1300  280  151  280  147 
1320  287  156  287  155 
1340  294  157  294  162 
1360  301  164  301  164 
1380  308  173  308  171 
1400  315  179  315  180 
1420  322  181  322  185 
1440  329  188  329  188 
1460  336  196  336  195 
1480  343  203  343  204 
1500  349  206  349  210 
1520  356  213  356  213 
1540  363  221  363  220 
1560  370  228  370  229 
1580  377  232  377  235 
1600  384  238  384  239 
1620  391  247  391  246 
1640  398  254  398  255 
1660  405  258  405  261 
1680  412  265  412  265 
1700  419  274  419  272 
1720  426  280  426  282 
1740  433  284  433  288 
1760  440  291  440  292 
1780  446  300  446  299 
1800  453  307  453  308 
1820  460  311  460  315 
1840  466  318  466  318 
1860  473  327  473  326 
1880  480  334  480  335 
1900  486  338  486  342 
1920  493  345  493  345 
1940  499  354  499  352 
1960  505  360  505  361 
1980  512  364  512  368 
2000  518  371  518  371 
2020  524  380  524  379 
2040  530  387  530  388 
2060  536  390  536  394 
2080  542  397  542  398 
2100  548  406  548  405 
2120  554  413  554  414 
2140  560  416  560  420 
2160  566  422  566  423 
2180  571  431  571  430 
2200  577  438  577  439 
2220  582  441  582  445 
2240  587  447  587  447 
2260  593  456  593  454 
2280  598  462  598  463 
2300  603  465  603  469 
2320  608  471  608  471 
2340  613  479  613  478 
2360  618  486  618  487 
2380  622  487  622  493 
2400  627  493  627  494 
2420  631  502  631  501 
2440  635  508  635  510 
2460  640  509  640  515 
2480  644  514  644  516 
2500  648  523  648  523 
2520  651  528  651  532 
2540  655  529  655  537 
2560  659  535  659  537 
2580  662  543  662  544 
2600  665  548  665  550 
2620  669  549  669  553 
2640  672  555  672  559 
2660  675  563  675  567 
2680  677  568  677  571 
2700  680  568  680  571 
2720  682  574  682  578 
2740  685  582  685  585 
2760  687  586  687  588 
2780  689  586  689  589 
2800  691  592  691  596 
2820  692  599  692  602 
2840  694  601  694  601 
2860  695  601  695  602 
2880  696  608  696  610 
2900  697  614  697  615 
2920  698  612  698  612 
2940  699  614  699  614 
2960  699  621  699  622 
2980  699  626  699  626 
3000  699  623  699  622 
