time[ms]  LW_traj[mm]  LW[mm]  RW_traj[mm]  RW[mm] 
0  0  0  0  0 
20  0  0  0  0 
40  0  0  0  0 
60  0  0  0  0 
80  1  0  1  0 
100  2  0  2  0 
120  3  0  3  0 
140  4  0  4  0 
160  5  0  5  0 
180  7  0  7  0 
200  8  1  8  1 
220  10  2  10  2 
240  12  4  12  3 
260  14  6  14  5 
280  17  8  17  8 
300  19  11  19  11 
320  22  15  22  14 
340  24  18  24  17 
360  27  22  27  21 
380  30  26  30  25 
400  34  30  34  29 
420  37  34  37  33 
440  40  38  40  37 
460  44  41  44  41 
480  48  45  48  45 
500  51  49  51  49 
520  55  52  55  52 
540  59  55  59  55 
560  64  59  64  58 
580  68  62  68  62 
600  72  65  72  65 
620  77  69  77  68 
640  81  73  81  72 
660  86  77  86  76 
680  91  81  91  81 
700  96  86  96  86 
720  101  91  101  91 
740  106  96  106  96 
760  112  102  112  102 
780  117  108  117  108 
800  122  114  122  114 
820  128  120  128  120 
840  133  126  133  126 
860  139  132  139  132 
880  145  138  145  138 
900  151  145  151  144 
920  157  151  157  150 
940  163  156  163  156 
960  169  162  169  162 
980  175  168  175  168 
1000  181  174  181  174 
1020  187  180  187  180 
1040  194  185  194  186 
1060  200  191  200  192 
1080  206  197  206  198 
1100  213  203  213  204 
1120  219  210  219  210 
1140  226  216  226  216 
1160  233  222  233  222 
1180  239  229  239  229 
1200  246  235  246  235 
1220  253  242  253  242 
1240  259  249  259  249 
1260  266  256  266  256 
1280  273  263  273  263 
1300  280  270  280  270 
1320  287  277  287  277 
1340  294  284  294  284 
1360  301  291  301  291 
1380  308  298  308  298 
1400  315  305  315  306 
1420  322  312  322  313 
1440  329  320  329  320 
1460  336  327  336  327 
1480  343  334  343  334 
1500  349  341  349  341 
1520  356  348  356  348 
1540  363  355  363  355 
1560  370  362  370  362 
1580  377  369  377  369 
1600  384  376  384  376 
1620  391  383  391  383 
1640  398  390  398  389 
1660  405  397  405  396 
1680  412  403  412  403 
1700  419  410  419  410 
1720  426  417  426  417 
1740  433  423  433  424 
1760  440  430  440  431 
1780  446  437  446  437 
1800  453  444  453  444 
1820  460  450  460  451 
1840  466  457  466  458 
1860  473  464  473  465 
1880  480  471  480  472 
1900  486  478  486  479 
1920  493  485  493  486 
1940  499  492  499  492 
1960  505  498  505  499 
1980  512  505  512  505 
2000  518  512  518  512 
2020  524  518  524  518 
2040  530  524  530  524 
2060  536  531  536  530 
2080  542  537  542  536 
2100  548  543  548  542 
2120  554  549  554  548 
2140  560  555  560  554 
2160  566  560  566  560 
2180  571  566  571  565 
2200  577  572  577  571 
2220  582  577  582  577 
2240  587  583  587  582 
2260  593  588  593  588 
2280  598  593  598  593 
2300  603  598  603  598 
2320  608  603  608  603 
2340  613  608  613  608 
2360  618  613  618  613 
2380  622  618  622  618 
2400  627  622  627  623 
2420  631  627  631  627 
2440  635  631  635  631 
2460  640  636  640  636 
2480  644  640  644  640 
2500  648  644  648  644 
2520  651  648  651  647 
2540  655  652  655  651 
2560  659  656  659  655 
2580  662  659  662  658 
2600  665  663  665  662 
2620  669  666  669  665 
2640  672  669  672  669 
2660  675  672  675  672 
2680  677  675  677  675 
2700  680  677  680  678 
2720  682  680  682  680 
2740  685  682  685  683 
2760  687  684  687  685 
2780  689  686  689  687 
2800  691  688  691  689 
2820  692  690  692  690 
2840  694  691  694  692 
2860  695  693  695  693 
2880  696  694  696  694 
2900  697  695  697  695 
2920  698  696  698  696 
2940  699  697  699  697 
2960  699  698  699  697 
2980  699  698  699  697 
3000  699  698  699  698 
