P,36,1,0.5,0
v,0.098480667,0.017364818,1,0
v,0.093969262,0.034202014,1,0
v,0.08660254,0.05,1,0
v,0.076604444,0.064278761,1,0
v,0.064278761,0.076604444,1,0
v,0.05,0.08660254,1,0
v,0.034202014,0.093969262,1,0
v,0.017364818,0.098480775,1,0
v,0,0.1,1,0
v,-0.017364818,0.098480775,1,0
v,-0.034202014,0.093969262,1,0
v,-0.05,0.08660254,1,0
v,-0.064278761,0.076604444,1,0
v,-0.076604444,0.064278761,1,0
v,-0.08660254,0.05,1,0
v,-0.093969262,0.034202014,1,0
v,-0.098480775,0.017364818,1,0
v,-0.1,0,1,0
v,-0.098480775,-0.017364818,1,0
v,-0.093969262,-0.034202014,1,0
v,-0.08660254,-0.05,1,0
v,-0.076604444,-0.064278761,1,0
v,-0.064278761,-0.076604444,1,0
v,-0.05,-0.08660254,1,0
v,-0.034202014,-0.093969262,1,0
v,-0.017364818,-0.098480775,1,0
v,0,-0.1,1,0
v,0.017364818,-0.098480775,1,0
v,0.034202014,-0.093969262,1,0
v,0.05,-0.08660254,1,0
v,0.064278761,-0.076604444,1,0
v,0.076604444,-0.064278761,1,0
v,0.08660254,-0.05,1,0
v,0.093969262,-0.034202014,1,0
v,0.098480775,-0.017364818,1,0
v,0.1,0,1,0
L,3,1,0.5,0
v,0.1,0,1,0
v,0.2,0.1,1,0
v,0.2,-0.1,1,0
L,3,1,0.5,0
v,-0.1,0,1,0
v,-0.2,0.1,1,0
v,-0.2,-0.1,1,0
